day,STOCK_CODE,open,close,maximum,minimum,volume,TURNOVER
2001-08-27,6005191,34.51,35.55,37.78,32.85,406318,1410347008
2001-08-28,6005191,34.99,36.86,37.00,34.61,129647,463463008
2001-08-29,6005191,36.98,36.38,37.00,36.10,53252,194689000
2001-08-30,6005191,36.28,37.10,37.51,36.00,48013,177558000
2001-08-31,6005191,37.15,37.01,37.62,36.80,23231,86231000
2001-09-03,6005191,37.20,36.99,37.57,36.85,22112,82129000
2001-09-04,6005191,37.01,37.46,38.08,36.88,37006,139204000
2001-09-05,6005191,37.61,37.44,37.92,37.21,26066,97796000
2001-09-06,6005191,37.35,36.70,37.47,36.51,28997,107078000
2001-09-07,6005191,36.50,35.68,36.95,35.65,31552,113868000
2001-09-10,6005191,35.40,36.70,36.85,35.01,18878,68406000
2001-09-11,6005191,36.80,36.29,36.95,36.20,11390,41579000
2001-09-12,6005191,35.33,35.98,36.20,35.30,25045,89421000
2001-09-13,6005191,36.01,35.89,36.30,35.70,10986,39512000
2001-09-14,6005191,36.01,36.30,36.50,35.80,7672,27740000
2001-09-17,6005191,36.08,35.84,36.29,35.50,8983,32183000
2001-09-18,6005191,35.88,36.25,36.55,35.85,10773,39006000
2001-09-19,6005191,36.30,36.92,36.92,36.06,8650,31597000
2001-09-20,6005191,36.90,36.61,37.05,36.50,11173,41189000
2001-09-21,6005191,36.28,36.06,36.60,36.00,7879,28638000
2001-09-24,6005191,36.06,36.05,36.39,36.00,4068,14703000
2001-09-25,6005191,36.28,36.23,36.54,36.05,3488,12639000
2001-09-26,6005191,36.11,36.08,36.48,36.00,4956,17892000
2001-09-27,6005191,36.08,36.70,36.98,36.00,8778,32085000
2001-09-28,6005191,36.90,37.09,37.20,36.50,17088,63169000
2001-10-08,6005191,37.00,36.58,37.18,36.25,6552,24091000
2001-10-09,6005191,36.60,37.30,37.50,36.60,9558,35498000
2001-10-10,6005191,37.30,36.10,37.43,36.03,17548,63956000
2001-10-11,6005191,36.01,35.75,36.50,35.65,12306,44319000
