"ID","CONCEPT_CODE","CONCEPT_NAME","STOCK_CODE","STOCK_NAME"
"1","BK0709","赛马概念","600533","栖霞建设"
"2","BK0709","赛马概念","000592","平潭发展"
"3","BK0709","赛马概念","600158","中体产业"
"4","BK0709","赛马概念","600555","海航创新"
"5","BK0709","赛马概念","600684","珠江实业"
"6","BK0709","赛马概念","600692","亚通股份"
"7","BK0709","赛马概念","002264","新华都"
"8","BK0709","赛马概念","600168","武汉控股"
"9","BK0709","赛马概念","000735","罗牛山"
"10","BK0709","赛马概念","600777","新潮能源"
"11","BK0709","赛马概念","000821","京山轻机"
"12","BK0709","赛马概念","600398","海澜之家"
"13","BK0709","赛马概念","600361","华联综超"
"14","BK0709","赛马概念","000979","中弘股份"
"15","BK0891","国产芯片","300236","上海新阳"
"16","BK0891","国产芯片","600770","综艺股份"
"17","BK0891","国产芯片","603986","兆易创新"
"18","BK0891","国产芯片","603501","韦尔股份"
"19","BK0891","国产芯片","002079","苏州固锝"
"20","BK0891","国产芯片","300353","东土科技"
"21","BK0891","国产芯片","600460","士兰微"
"22","BK0891","国产芯片","300708","聚灿光电"
"23","BK0891","国产芯片","300667","必创科技"
"24","BK0891","国产芯片","300139","晓程科技"
"25","BK0891","国产芯片","002409","雅克科技"
"26","BK0891","国产芯片","002049","紫光国微"
"27","BK0891","国产芯片","300373","扬杰科技"
"28","BK0891","国产芯片","300661","圣邦股份"
"29","BK0891","国产芯片","300623","捷捷微电"
"30","BK0891","国产芯片","603078","江化微"
"31","BK0891","国产芯片","300604","长川科技"
"32","BK0891","国产芯片","300458","全志科技"
"33","BK0891","国产芯片","300456","耐威科技"
"34","BK0891","国产芯片","600171","上海贝岭"
"35","BK0891","国产芯片","002023","海特高新"
"36","BK0891","国产芯片","002156","通富微电"
"37","BK0891","国产芯片","300672","国科微"
"38","BK0891","国产芯片","300706","阿石创"
"39","BK0891","国产芯片","002371","北方华创"
"40","BK0891","国产芯片","300327","中颖电子"
"41","BK0891","国产芯片","600100","同方股份"
"42","BK0891","国产芯片","002077","大港股份"
"43","BK0891","国产芯片","300666","江丰电子"
"44","BK0891","国产芯片","300046","台基股份"
"45","BK0891","国产芯片","000977","浪潮信息"
"46","BK0891","国产芯片","603929","亚翔集成"
"47","BK0891","国产芯片","300474","景嘉微"
"48","BK0891","国产芯片","600360","华微电子"
"49","BK0891","国产芯片","002405","四维图新"
"50","BK0891","国产芯片","600667","太极实业"
"51","BK0891","国产芯片","300333","兆日科技"
"52","BK0891","国产芯片","300493","润欣科技"
"53","BK0891","国产芯片","603005","晶方科技"
"54","BK0891","国产芯片","002185","华天科技"
"55","BK0891","国产芯片","300656","民德电子"
"56","BK0891","国产芯片","603019","中科曙光"
"57","BK0891","国产芯片","300101","振芯科技"
"58","BK0891","国产芯片","600584","长电科技"
"59","BK0891","国产芯片","002414","高德红外"
"60","BK0891","国产芯片","002161","远望谷"
"61","BK0891","国产芯片","600410","华胜天成"
"62","BK0891","国产芯片","300671","富满电子"
"63","BK0891","国产芯片","300613","富瀚微"
"64","BK0891","国产芯片","000997","新大陆"
"65","BK0891","国产芯片","300183","东软载波"
"66","BK0891","国产芯片","000670","盈方微"
"67","BK0891","国产芯片","300077","国民技术"
"68","BK0891","国产芯片","300739","明阳电路"
"69","BK0891","国产芯片","600206","有研新材"
"70","BK0891","国产芯片","002436","兴森科技"
"71","BK0891","国产芯片","300131","英唐智控"
"72","BK0891","国产芯片","002180","纳思达"
"73","BK0891","国产芯片","002119","康强电子"
"74","BK0891","国产芯片","300548","博创科技"
"75","BK0891","国产芯片","002916","深南电路"
"76","BK0891","国产芯片","300184","力源信息"
"77","BK0891","国产芯片","300316","晶盛机电"
"78","BK0891","国产芯片","300580","贝斯特"
"79","BK0891","国产芯片","300045","华力创通"
"80","BK0891","国产芯片","603421","鼎信通讯"
"81","BK0891","国产芯片","603160","汇顶科技"
"82","BK0891","国产芯片","000070","特发信息"
"83","BK0891","国产芯片","300323","华灿光电"
"84","BK0891","国产芯片","600198","*ST大唐"
"85","BK0891","国产芯片","600330","天通股份"
"86","BK0891","国产芯片","300054","鼎龙股份"
"87","BK0891","国产芯片","002465","海格通信"
"88","BK0891","国产芯片","600703","三安光电"
"89","BK0891","国产芯片","002413","雷科防务"
"90","BK0891","国产芯片","000063","中兴通讯"
"91","BK0891","国产芯片","300053","欧比特"
"92","BK0891","国产芯片","300223","北京君正"
"93","BK0643","上海自贸","600895","张江高科"
"94","BK0643","上海自贸","600639","浦东金桥"
"95","BK0643","上海自贸","600630","龙头股份"
"96","BK0643","上海自贸","600663","陆家嘴"
"97","BK0643","上海自贸","600689","上海三毛"
"98","BK0643","上海自贸","600626","申达股份"
