"DAY","STOCK_CODE","STOCK_NAME","CURRENT_PRICE","CHANGEMOUNT","CHANGEPERCENT","VOLUME","TURNOVER","AMPLITUDE","MAXIMUM","MINIMUM","OPEN_TODAY","CLOSE_YESTERDAY","QUANTITY_RELATIVE_RATIO","TURNOVER_RATE","PE","PB","TOTAL_MARKET_VALUE","CURRENT_MARKET","UP_DOWN_60","UP_DOWN_THIS_YEAR"
"20190906","688168","N安博通","180.04","123.16","216.53%","84759","1591068080","52.74%","210.00","180.00","189.99","56.88","-","73.03","314.60","9.80","9214446856","2089477907","-14.29%","0%"
"20190906","000599","青岛双星","4.69","0.43","10.09%","269866","123708153","10.09%","4.69","4.26","4.26","4.26","5.62","3.52","65.53","1.05","3885680013","3600473348","5.63%","28.49%"
"20190906","000890","法尔胜","6.44","0.59","10.09%","479279","297213744","9.40%","6.44","5.89","6.00","5.85","2.39","12.63","-","4.08","2444891926","2444782497","12.98%","39.7%"
"20190906","300061","康旗股份","6.99","0.64","10.08%","30898","21597604","0.00%","6.99","6.99","6.99","6.35","0.51","1.13","59.44","2.08","4731628796","1918801015","7.37%","18.27%"
"20190906","000058","深赛格","11.50","1.05","10.05%","1401136","1580727968","12.34%","11.50","10.21","10.21","10.45","1.23","26.04","85.31","7.48","14210046864","6187455400","103.9%","83.12%"
"20190906","002581","未名医药","7.45","0.68","10.04%","258115","184994012","10.04%","7.45","6.77","6.77","6.77","3.57","6.44","95.79","1.76","4915029990","2985894125","14.09%","16.41%"
"20190906","600213","亚星客车","10.30","0.94","10.04%","113159","116016431","2.56%","10.30","10.06","10.07","9.36","1.25","5.14","109.55","11.33","2266000042","2266000042","1.58%","70.25%"
"20190906","603011","合锻智能","5.92","0.54","10.04%","244649","144153412","6.32%","5.92","5.58","5.74","5.38","6.26","5.45","326.29","1.63","2682202815","2657779298","16.54%","36.41%"
"20190906","300353","东土科技","16.24","1.48","10.03%","697001","1086112336","9.69%","16.24","14.81","14.90","14.76","2.14","18.98","28.18","3.38","8298329650","5962301288","31.07%","83.3%"
"20190906","300176","派生科技","11.20","1.02","10.02%","208123","225021035","9.33%","11.20","10.25","10.35","10.18","0.77","5.66","-","3.92","4337544886","4119314771","-4.92%","-70.24%"
"20190906","300757","罗博特科","33.28","3.03","10.02%","32279","102982553","10.84%","33.28","30.00","30.36","30.25","2.08","12.41","56.51","5.10","3461119873","865279968","-22.64%","7.18%"
"20190906","002708","光洋股份","9.33","0.85","10.02%","351307","313418432","12.15%","9.33","8.30","8.30","8.48","2.57","9.16","487.65","3.09","4374473803","3577893301","-18.16%","11.34%"
"20190906","300397","天和防务","26.13","2.38","10.02%","224474","565314208","10.23%","26.13","23.70","23.95","23.75","1.20","14.54","71.14","5.73","6271199799","4035274061","33.73%","174.47%"
"20190906","600378","昊华科技","14.94","1.36","10.01%","113169","164723683","9.79%","14.94","13.61","13.85","13.58","5.00","5.60","24.31","2.48","12507558474","3020442723","5.81%","68.43%"
"20190906","300492","山鼎设计","39.88","3.63","10.01%","29651","118126630","4.88%","39.88","38.11","39.88","36.25","2.44","4.93","133.00","11.62","3318016089","2399496475","83.61%","105.14%"
"20190906","300338","开元股份","10.99","1.00","10.01%","133843","143131655","9.11%","10.99","10.08","10.60","9.99","3.95","6.73","50.42","1.79","3793502756","2185821089","6.18%","58.13%"
"20190906","300384","三联虹普","21.21","1.93","10.01%","47560","100334566","6.02%","21.21","20.05","20.08","19.28","0.99","2.61","32.12","3.89","6742105807","3857976431","23.67%","75%"
"20190906","300475","聚隆科技","17.26","1.57","10.01%","89393","150276522","11.98%","17.26","15.38","15.69","15.69","2.04","6.93","49.39","2.75","3452000046","2227130114","36.01%","107.95%"
"20190906","002134","天津普林","10.66","0.97","10.01%","308526","321876448","8.57%","10.66","9.83","10.00","9.69","5.94","12.55","228.31","6.82","2620758489","2620758489","49.72%","78.56%"
"20190906","002095","生意宝","28.70","2.61","10.00%","199183","571154368","2.87%","28.70","27.95","28.70","26.09","2.54","7.92","199.27","8.48","7253064193","7222013404","24.78%","48.78%"
"20190906","300743","天地数码","23.76","2.16","10.00%","38616","89148762","10.37%","23.76","21.52","21.60","21.60","1.46","7.07","83.57","6.15","2332210342","1297710743","-32.4%","-37.96%"
"20190906","603322","超讯通信","21.34","1.94","10.00%","57839","121778331","6.86%","21.34","20.01","20.01","19.40","2.14","3.70","-","7.79","3340136824","3340136824","-0.42%","-40.72%"
"20190906","002589","瑞康医药","8.58","0.78","10.00%","1409680","1148722144","11.03%","8.58","7.72","7.83","7.80","2.30","12.12","16.85","1.49","12910415726","9975389198","21.02%","27.3%"
"20190906","300567","精测电子","51.61","4.69","10.00%","223613","1144193104","5.33%","51.61","49.11","50.00","46.92","3.11","17.51","40.24","10.25","12665156082","6589822773","10.32%","3.01%"
"20190906","002486","嘉麟杰","4.40","0.40","10.00%","542741","236295092","9.00%","4.40","4.04","4.09","4.00","3.44","6.52","281.42","3.92","3660800079","3660800079","21.88%","17.33%"
"20190906","300576","容大感光","23.89","2.17","9.99%","101173","234738501","10.08%","23.89","21.70","21.74","21.72","1.66","25.22","77.65","6.45","2866799927","958434405","46.92%","70.28%"
"20190906","603797","联泰环保","12.88","1.17","9.99%","248693","305377040","10.42%","12.88","11.66","11.71","11.71","2.77","33.30","24.64","3.41","3846946914","961826889","31.56%","6.1%"
