发车日期,列车序列,车次,出发,到达
2020-02-22,240000G2610H,G261,VNP,HFH
2020-02-22,240000G2650P,G265,VNP,ENH
2020-02-22,240000G3550U,G355,VNP,ENH
2020-02-22,240000G2630J,G263,VNP,ENH
2020-02-22,2400000G270C,G27,VNP,ENH
2020-02-22,240000G3230N,G323,VNP,ENH
2020-02-22,240000G3010C,G301,VNP,ENH
2020-02-22,240000G3250J,G325,VNP,ENH
2020-02-22,24000K107130,K1071,BXP,HFH
2020-02-22,240000G3030A,G303,VNP,ENH
2020-02-22,2400000G2305,G23,VNP,ENH
2020-02-22,24000K11090V,K1109,BXP,HFH
2020-02-22,240000G1610D,G161,VNP,ENH
2020-02-22,240000G3510E,G351,VNP,ENH
2020-02-22,2400000G290G,G29,VNP,ENH
2020-02-22,240000G2670K,G267,VNP,ENH
2020-02-22,240000G2711Q,G271,VNP,ENH
2020-02-22,240000G2690Y,G269,VNP,ENH
2020-02-22,2400000T3510,T35,BJP,HFH
2020-02-22,240000Z22505,Z225,BJP,HFH
2020-02-22,550000D71000,D710,NJH,VNP
2020-02-22,560000D71201,D712,NJH,BJP
2020-02-22,5a0000K102C1,K102,NJH,BJP
2020-02-22,5s0000G20401,G204,NKH,VNP
2020-02-22,5l0000G10200,G102,NKH,VNP
2020-02-22,5l0000G10480,G104,NKH,VNP
2020-02-22,55000000G602,G6,NKH,VNP
2020-02-22,5600000G34A0,G34,NKH,VNP
2020-02-22,5l0000G106B0,G106,NKH,VNP
2020-02-22,5600000G2011,G20,NKH,VNP
2020-02-22,5l000000G816,G8,NKH,VNP
2020-02-22,5l0000G10880,G108,NKH,VNP
2020-02-22,5q0000G11000,G110,NKH,VNP
2020-02-22,5l0000G120S0,G120,NKH,VNP
2020-02-22,5l0000G11297,G112,NKH,VNP
2020-02-22,5l0000G11490,G114,NKH,VNP
2020-02-22,5l000000G241,G2,NKH,VNP
2020-02-22,5j00000G5810,G58,NKH,VNP
2020-02-22,5600000G3660,G36,NKH,VNP
2020-02-22,5l00000G1003,G10,NKH,VNP
2020-02-22,5l0000G11681,G116,NKH,VNP
2020-02-22,5600000G4650,G46,NKH,VNP
2020-02-22,5l0000G11805,G118,NKH,VNP
2020-02-22,5600000G4200,G42,NKH,VNP
2020-02-22,5l0000G124W1,G124,NKH,VNP
2020-02-22,5l0000G122B0,G122,NKH,VNP
2020-02-22,5e0000G42000,G420,NKH,VNP
2020-02-22,5l0000G12602,G126,NKH,VNP
2020-02-22,5l0000G12806,G128,NKH,VNP
2020-02-22,550000G13010,G130,NKH,VNP
2020-02-22,5u00000G380K,G38,NKH,VNP
2020-02-22,5500000G1202,G12,NKH,VNP
2020-02-22,5j0000G16831,G168,NKH,VNP
2020-02-22,5l0000G132F0,G132,NKH,VNP
2020-02-22,5l0000G41270,G412,NKH,VNP
2020-02-22,5600000G3247,G32,NKH,VNP
2020-02-22,5l0000G134B1,G134,NKH,VNP
2020-02-22,5800000G560L,G56,NKH,VNP
2020-02-22,550000G41602,G416,NKH,VNP
2020-02-22,5l0000G13602,G136,NKH,VNP
2020-02-22,5l0000G13861,G138,NKH,VNP
2020-02-22,5l000000G440,G4,NKH,VNP
2020-02-22,5800000K460M,K46,NJH,BJP
2020-02-22,5l0000G14051,G140,NKH,VNP
2020-02-22,5j0000G16422,G164,NKH,VNP
2020-02-22,5l0000G14262,G142,NKH,VNP
2020-02-22,5l00000G1445,G14,NKH,VNP
2020-02-22,5l0000G14401,G144,NKH,VNP
2020-02-22,550000146202,1462,NJH,BJP
2020-02-22,5l0000G146F1,G146,NKH,VNP
2020-02-22,5t0000G16611,G166,NKH,VNP
2020-02-22,5l0000G148E1,G148,NKH,VNP
2020-02-22,5e00000G6023,G60,NKH,VNP
2020-02-22,5l0000G17006,G170,NKH,VNP
2020-02-22,5l0000G15062,G150,NKH,VNP
2020-02-22,5l0000G152E0,G152,NKH,VNP
2020-02-22,5l00000G1614,G16,NKH,VNP
2020-02-22,5l0000G154A0,G154,NKH,VNP
2020-02-22,5l0000G156Y3,G156,NKH,VNP
2020-02-22,5600000G4400,G44,NKH,VNP
2020-02-22,5l0000G158D1,G158,NKH,VNP
2020-02-22,5500000G1810,G18,NKH,VNP
2020-02-22,5l0000G16004,G160,NKH,VNP
2020-02-22,5l00000G221B,G22,NKH,VNP
2020-02-22,5600000G4070,G40,NKH,VNP
2020-02-22,540000D71600,D716,NJH,VNP
2020-02-22,560000D71800,D718,NJH,BJP
2020-02-22,550000D70200,D702,NJH,BJP
2020-02-22,550000T11062,T110,NJH,BJP
2020-02-22,560000Z28231,Z282,NJH,BJP
2020-02-22,550000D70600,D706,NJH,BJP
2020-02-22,240000K5072K,K507,BXP,CXW
2020-02-22,240000G3090J,G309,BXP,CUW
2020-02-22,240000G5710Y,G571,BXP,CXW
2020-02-22,240000K5891B,K589,BXP,CQW
2020-02-22,2400000Z490H,Z49,BXP,CUW
2020-02-22,24000000T922,T9,BXP,CXW
2020-02-22,24000000Z30L,Z3,BXP,CUW
2020-02-22,2400000Z950A,Z95,BXP,CXW
2020-02-22,240000K8190W,K819,BXP,CXW
2020-02-22,5l000D237360,D2373,NKH,CUW
2020-02-22,5l000G188670,G1886,NKH,CXW
2020-02-22,5s000D225441,D2255,NKH,CUW
2020-02-22,5l0000D35280,D353,NKH,CUW
2020-02-22,5l0000D63660,D637,NKH,CUW
2020-02-22,5l000G197440,G1974,NKH,CXW
2020-02-22,5l000D220690,D2207,NKH,CUW
2020-02-22,55000D307210,D3073,NKH,CUW
2020-02-22,5l000D305690,D3057,NKH,CUW
2020-02-22,56000D222261,D2223,NKH,CUW
2020-02-22,5q000D221200,D2213,NKH,CUW
2020-02-22,5e0000D65650,D657,NKH,CUW
2020-02-22,550000D95211,D953,NKH,CUW
